Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Headline,Text,Media,Media Credit,Media Caption,Media Thumbnail,Type,Group,Background
,,,,,,,,,NYT Articles after a search for Help,A collection of NYT Articles written about Help.,http://static01.nytimes.com/packages/images/developer/logos/poweredby_nytimes_200a.png,New York Times Developers,"<a href=""http://developer.nytimes.com"" title=""The New York Times Developers"">The New York Times Developers</a>",,title,,
2018,01,03,04:00:2,2018,01,03,04:00:2,,Cuomo, in Bid to Help Poor, Proposes Ending Cash Bail for Minor Crimes,"In his annual speech to the New York State Legislature, Gov. Andrew M. Cuomo intends to ask for bail to be eliminated for misdemeanors and nonviolent felonies." Found at: https://www.nytimes.com/2018/01/02/nyregion/cuomo-ending-cash-bail-state-of-the-state.html,,,,,,,
2018,01,12,03:26:2,2018,01,12,03:26:2,,Messi’s 2 Goals Help Barcelona Advance in Copa del Rey,"Lionel Messi also added an assist to Jordi Alba as the defending champions rolled to the quarterfinals with a 6-1 aggregate victory over Celta Vigo." Found at: https://www.nytimes.com/2018/01/11/sports/messi-barcelona-copa-del-rey.html,,,,,,,
2018,01,12,18:28:4,2018,01,12,18:28:4,,With a Tax Deduction Gone, Is Home Equity a Smart Way to Pay for College?,"The new tax law removes the ability to deduct interest paid on home equity loans. Will schools ask less of families, and should parents even use the loans to pay for school?" Found at: https://www.nytimes.com/2018/01/12/your-money/home-equity-college.html,,,,,,,
2018,01,12,21:02:3,2018,01,12,21:02:3,,Is the Answer to Phone Addiction a Worse Phone?,"A small group of people have turned their phone screens to shades of gray to make them less stimulating. That’s the opposite of what tech companies want." Found at: https://www.nytimes.com/2018/01/12/technology/grayscale-phone.html,,,,,,,
2018,01,14,08:42:4,2018,01,14,08:42:4,,‘Saturday Night Live,’ With Help From Old Friends, Skewers ‘Morning Joe’,"This week’s “S.N.L.” featured cameos from two of its alumni, a workout for the network’s censors and the usual skewering of President Trump." Found at: https://www.nytimes.com/2018/01/14/arts/television/saturday-night-live-morning-joe-bannon-oprah.html,,,,,,,
2018,01,03,21:15:3,2018,01,03,21:15:3,,A Literary Journey Underground,"Three books delve into mass transit and the creation of the subway." Found at: https://www.nytimes.com/2018/01/03/books/subway-mass-transit.html,,,,,,,
2018,01,08,19:30:1,2018,01,08,19:30:1,,Apple Investors Warn iPhones and Other Technology May Be Hurting Children,"Two major shareholders argued that Apple should head off a potential reckoning by proactively helping parents limit how children use the company’s technology." Found at: https://www.nytimes.com/2018/01/08/business/apple-investors-children.html,,,,,,,
2018,01,02,22:40:0,2018,01,02,22:40:0,,Five Festivals for the Open-Minded Theater and Dance Lover,"These showcases tend to highlight the experimental and the offbeat." Found at: https://www.nytimes.com/2018/01/02/theater/five-festivals-for-the-open-minded-theater-and-dance-lover.html,,,,,,,
2018,01,08,20:46:5,2018,01,08,20:46:5,,Billionaire to Spend $30 Million on 2018 Elections. His Aim: Impeach Trump,"The billionaire environmentalist Tom Steyer said he will spend $30 million on the 2018 midterms to elect Democrats, with a goal of removing the president." Found at: https://www.nytimes.com/2018/01/08/us/politics/tom-steyer-trump-impeachment-midterm-elections.html,,,,,,,
