Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Headline,Text,Media,Media Credit,Media Caption,Media Thumbnail,Type,Group,Background
,,,,,,,,,NYT Articles for 100 Days of Trump,A collection of NYT Articles written during President Trump's first 100 days.,http://storage.torontosun.com/v1/suns-prod-images/1297660878712_LARGE_BOX.jpg?quality=80&stmp=1481008151209,Zach Wise/verite.co,"<a href=""http://www.flickr.com/photos/zachwise/6115056146/"" title=""Chicago by zach.wise, on Flickr"">Chicago by zach.wise</a>",,title,,
2017,01,30,18:18:1,2017,01,30,18:18:1,,Trump Hotels’ Tweet Draws Backlash After Immigration Order,"A more than five-year-old Twitter message from the president’s hospitality company got new life over the weekend as users shared their family’s refugee stories." Found at: https://www.nytimes.com/2017/01/30/us/trump-hotels-tweet-refugees.html,,,,,,,
2017,01,26,02:58:5,2017,01,26,02:58:5,,‘It Is Unacceptable’: Ethics Doubts Swirl as Trump Club Doubles Fee,"An official at Mar-a-Lago said a fee change had been planned before the election, but he acknowledged that the club had seen a wave of interest since Mr. Trump won." Found at: https://www.nytimes.com/2017/01/25/us/politics/mar-a-lago-membership-donald-trump.html,,,,,,,
2017,01,30,17:59:1,2017,01,30,17:59:1,,Trump Signs Executive Order Slashing Regulations,"President Trump signed an executive order on Monday requiring that with every new federal regulation proposed, two must be revoked." Found at: https://www.nytimes.com/video/us/politics/100000004901891/trump-signs-executive-order-slashing-regulations.html,,,,,,,
2017,01,30,23:43:3,2017,01,30,23:43:3,,Iran Launches a Missile, Testing Trump’s Vows of Strict Enforcement,"The missile test could reveal whether the Trump administration will make good on its promises to strictly enforce all aspects of the Iranian nuclear deal." Found at: https://www.nytimes.com/2017/01/30/world/middleeast/iran-missile-test.html,,,,,,,
2017,01,30,20:33:3,2017,01,30,20:33:3,,Disorder and the Immigration Order,"Readers discuss the ban on travelers from certain countries and how it was carried out." Found at: https://www.nytimes.com/2017/01/30/opinion/disorder-and-the-immigration-order.html,,,,,,,
2017,01,30,20:58:5,2017,01,30,20:58:5,,Trump Supporters Applaud Immigration Order as a ‘Welcome Change’,"They say they feel safer and view the airport protests and objections as misguided." Found at: https://www.nytimes.com/2017/01/30/us/trump-travel-ban-republicans-conservatives.html,,,,,,,
2017,01,30,14:51:0,2017,01,30,14:51:0,,The Alt-Majority: How Social Networks Empowered Mass Protests Against Trump,"We’re witnessing the stirrings of a national popular movement aimed at defeating the policies of the president." Found at: https://www.nytimes.com/2017/01/30/technology/donald-trump-social-networks-protests.html,,,,,,,
2017,01,30,22:19:1,2017,01,30,22:19:1,,Science Will Suffer Under Trump’s Travel Ban, Researchers Say,"College officials and policy makers say that new restrictions on travel will affect thousands of students and researchers and set back scientific inquiry." Found at: https://www.nytimes.com/2017/01/30/science/scientists-donald-trump-travel-ban.html,,,,,,,
2017,01,30,14:30:2,2017,01,30,14:30:2,,‘You Have Let Us Down, Trump’: Iraqis See U.S. Relations Recast,"Relationships between Iraqis and Americans have long been nurtured against a backdrop of war. Now Iraqis wonder if betrayal and insult will define the dynamic." Found at: https://www.nytimes.com/2017/01/30/world/middleeast/iraq-trump-refugee-ban.html,,,,,,,
2017,01,30,14:07:0,2017,01,30,14:07:0,,Trump Flirts With Theocracy,"The struggle to defend American values begins." Found at: https://www.nytimes.com/2017/01/30/opinion/trump-flirts-with-theocracy.html,,,,,,,
2017,02,27,17:08:1,2017,02,27,17:08:1,,Looking for a Trump Doctrine in the White House Kitchen,"The Obamas put food front and center, but the Trumps have yet to signal just how they will eat, entertain or set an example." Found at: https://www.nytimes.com/2017/02/27/dining/trump-white-house-food-policy.html,,,,,,,
