Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Headline,Text,Media,Media Credit,Media Caption,Media Thumbnail,Type,Group,Background
,,,,,,,,,NYT Articles for 100 Days of Trump,A collection of NYT Articles written during President Trump's first 100 days.,http://static01.nytimes.com/packages/images/developer/logos/poweredby_nytimes_200a.png,New York Times Developers,"<a href=""http://developer.nytimes.com"" title=""The New York Times Developers"">The New York Times Developers</a>",,title,,
2017,01,27,12:00:0,2017,01,27,12:00:0,,Donald Trump and the Theater of Access,"The press may not yet know how to cover the president, but the president knows exactly what to do with the press: Humiliate them." Found at: https://www.nytimes.com/2017/01/27/magazine/donald-trump-and-the-theater-of-access.html,,,,,,,
2017,01,30,16:13:2,2017,01,30,16:13:2,,Trump Vows to Dismantle Dodd-Frank ‘Disaster’,"The president is keeping a campaign pledge by saying again that he plans to roll back regulations put into place to prevent a financial crisis." Found at: https://www.nytimes.com/2017/01/30/us/politics/trump-dodd-frank-regulations.html,,,,,,,
2017,01,30,02:04:4,2017,01,30,02:04:4,,In a Week, Trump Reshapes Decades of Perceptions About America,"A nation whose global image is built on openness to the world’s needy and ambitious is now viewed as closing its doors in a way it never did even after Sept. 11, 2001." Found at: https://www.nytimes.com/2017/01/29/us/donald-trump-perception-foreign-policy.html,,,,,,,
2017,01,30,20:58:5,2017,01,30,20:58:5,,Trump Supporters Applaud Immigration Order as a ‘Welcome Change’,"They say they feel safer and view the airport protests and objections as misguided." Found at: https://www.nytimes.com/2017/01/30/us/trump-travel-ban-republicans-conservatives.html,,,,,,,
2017,01,26,10:00:0,2017,01,26,10:00:0,,Trump to G.O.P. Gathering: Where’s My C.I.A. Director?,"President Trump asked a congressional Republican retreat in Philadelphia where his C.I.A. director was, raising questions about his understanding of the agency’s independence." Found at: https://www.nytimes.com/2017/01/26/us/politics/donald-trump-administration.html,,,,,,,
2017,01,21,04:42:1,2017,01,21,04:42:1,,Despite Sabbath, Ivanka Trump and Husband Celebrate Inauguration,"The inaugural gatherings on Friday night posed an obstacle to their Orthodox Jewish observance of the Sabbath." Found at: https://www.nytimes.com/2017/01/20/us/ivanka-trump-jared-kushner-sabbath.html,,,,,,,
2017,01,21,04:42:1,2017,01,21,04:42:1,,Despite Sabbath, Ivanka Trump and Husband Celebrate Inauguration,"The inaugural gatherings on Friday night posed an obstacle to their Orthodox Jewish observance of the Sabbath." Found at: https://www.nytimes.com/2017/01/20/us/ivanka-trump-jared-kushner-sabbath.html,,,,,,,
2017,01,20,16:11:5,2017,01,20,16:11:5,,On Guard: Reporters Gear Up to Cover President Trump,"The media columnist Jim Rutenberg and the White House correspondent Peter Baker on the Trump administration and the media challenges it poses." Found at: https://www.nytimes.com/2017/01/20/insider/on-guard-reporters-gear-up-to-cover-president-trump.html,,,,,,,
2017,01,27,23:41:3,2017,01,27,23:41:3,,Canada Today: Trump Is a Blessing and a Curse for Trudeau,"Prime Minister Justin Trudeau faces a balancing act over the resurrected Keystone XL pipeline, and plays down the effects of possible Nafta changes for Canada." Found at: https://www.nytimes.com/2017/01/27/world/canada/canada-today-trump-trudeau.html,,,,,,,
